1: {left: S, center: None, right: None}
2: {left: S, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: S, right: None}
1: {left: None, center: S, right: None}
2: {left: None, center: S, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: H, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: S}
2: {left: None, center: None, right: S}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: U, right: U}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: S, center: None, right: None}
1: {left: S, center: S, right: None}
2: {left: S, center: S, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: H, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: H, center: H, right: None}
1: {left: H, center: H, right: None}
2: {left: H, center: H, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: H, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: S}
2: {left: None, center: None, right: S}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: U, right: U}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: S, center: None, right: None}
1: {left: S, center: S, right: None}
2: {left: S, center: S, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: H, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: H}
1: {left: None, center: None, right: H}
2: {left: None, center: None, right: H}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: S, center: None, right: None}
2: {left: S, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: H}
1: {left: None, center: None, right: H}
2: {left: None, center: None, right: H}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: H, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: H}
1: {left: None, center: None, right: S}
2: {left: None, center: None, right: S}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: U, right: U}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: S, center: None, right: None}
2: {left: S, center: None, right: None}

0: {left: None, center: S, right: None}
1: {left: None, center: S, right: None}
2: {left: None, center: S, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: H, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: H, center: None, right: None}
1: {left: H, center: None, right: None}
2: {left: H, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: H, center: None, right: None}
1: {left: H, center: None, right: None}
2: {left: H, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: U, center: None, right: None}
2: {left: U, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: U, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
2: {left: None, center: None, right: None}

0: {left: None, center: None, right: None}
1: {left: None, center: None, right: None}
